,Wind 2013,Wind 2015,Wind 2016,"Wind 2030, TU EEG, ""Stromzukunft""",WEB 2015 Umgebung Wien,Hochrechnung Ueberschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020
2018-10-20 13:00:00,0.09206947049358749,0.5450711835894084,0.07654731147207137,0.6767213110608568,0.22573737143979675,0.49999999999999994,0.0024389007104852448,0.2237659510086406,0.3344583192710091,0.03473861720067453
2018-10-20 14:00:00,0.10087139327632115,0.4842182698851896,0.07291307596913763,0.5583606549073711,0.24526663237532986,0.38188976377952755,0.005644066236832171,0.22891794690902573,0.38913263584205193,0.050590219224283306
2018-10-20 15:00:00,0.10259125130935356,0.3597803051876811,0.07298068326531076,0.5413114752108094,0.19640341603748954,0.20078740157480313,0.009550889937703423,0.27803364115936396,0.4103948700641242,0.04350758853288364
2018-10-20 16:00:00,0.08531855490449432,0.2440601557625423,0.07247458987817149,0.569836064750557,0.19695138815294624,0.043307086614173235,0.01429346815587479,0.24231313625002707,0.475194060074249,0.055986509274873524
2018-10-20 17:00:00,0.12241397880280268,0.24793801024385945,0.07878517968022102,0.3708196719547096,0.131435118292188,0.0,0.018949278152250056,0.3027632214812126,0.5764427944650692,0.06441821247892074
2018-10-20 18:00:00,0.1577801249896402,0.23779756700176308,0.09673022785777667,0.2826229503317546,0.24317684249161883,0.0,0.01657986714320325,0.37351729851316834,0.6250421869726628,0.07116357504215852
2018-10-20 19:00:00,0.12555774171606826,0.25526717912480834,0.08321798958345389,0.24983606549343298,0.12433474375841666,0.0,0.017085827293676623,0.3903471517877598,0.6118798515018562,0.07689713322091063
2018-10-20 20:00:00,0.10755921892610554,0.24241496914734795,0.07497535355025609,0.27704918047837884,0.11512196256730105,0.0,0.022879390293603377,0.4507972370189453,0.5396557543030712,0.08566610455311972
2018-10-20 21:00:00,0.07779157464529252,0.3424830380652995,0.06395697303732349,0.25934426155736207,0.11055919003517878,0.023622047244094488,0.027545717650196352,0.4593838968529205,0.4640566992912588,0.1163575042158516
2018-10-20 22:00:00,0.13545512198666132,0.35831528071565666,0.040616289748469855,0.2475409841238894,0.09413230424859323,0.03543307086614173,0.026892890076682822,0.5493720919129808,0.38339520755990547,0.14131534569983137
2018-10-20 23:00:00,0.1499495974182779,0.30762074369810716,0.030875816619034845,0.21508196687585454,0.15055663110879056,0.007874015748031496,0.025920409876552482,0.6293997615656298,0.2882213972325346,0.15750421585160204
2018-10-21 00:00:00,0.1909330118472537,0.23129715317603378,0.03180721208581457,0.23606557413093007,0.23860566944357567,0.0,0.018985337672996486,0.5881837943625488,0.2159973000337496,0.17166947723440137
2018-10-21 01:00:00,0.11457994623481213,0.19434933715459785,0.04660736346651604,0.19934426173409467,0.1565087197355259,0.0,0.01757939198389341,0.5610499492871871,0.1390482618967263,0.18381112984822937
2018-10-21 02:00:00,0.06771814131489218,0.20606010637659491,0.024494205803593936,0.1757377055191888,0.231673951421755,0.0,0.016496479501477125,0.5631107476473411,0.09584880188997637,0.19662731871838113
2018-10-21 03:00:00,0.04402618962688945,0.2641923785895456,0.030888569010942137,0.16918032735333735,0.22157200793008702,0.007874015748031496,0.021517767765417792,0.521551314050901,0.060749240634492066,0.2917369308600337
2018-10-21 04:00:00,0.03840797211483099,0.2526332619321668,0.03199280843572686,0.18885245885542387,0.2934623307942235,0.0,0.01993678315269141,0.49647826733569345,0.05636179547755653,0.4128161888701518
2018-10-21 05:00:00,0.03528691865888606,0.21720767347262349,0.021056749517321966,0.1868852464241275,0.09042896911453392,0.0,0.01957130488512601,0.4463321739052782,0.059736753290583866,0.4569983136593592
2018-10-21 06:00:00,0.03236331334633346,0.19613932483891977,0.010907415084274672,0.21344262338280542,0.054591075808840435,0.0,0.016878485049384637,0.4112986017826593,0.059736753290583866,0.5217537942664418
2018-10-21 07:00:00,0.030699170155537872,0.20479993702142132,0.010123241077298525,0.19081967263468078,0.07859134979489817,0.0,0.018324997699327453,0.39309488293463185,0.05231184610192372,0.5352445193929173
2018-10-21 08:00:00,0.03474817146881629,0.2056747672342357,0.02319220620892381,0.210819671727054,0.14288760626652638,0.055118110236220465,0.01527571447620729,0.36699143703934717,0.04049949375632804,0.5382799325463743
2018-10-21 09:00:00,0.022038031404039576,0.22087198201395067,0.03258404856267791,0.23409836035167317,0.1462297192159863,0.15748031496062992,0.012671540962300899,0.41679406407640346,0.02463719203509956,0.5591905564924115
2018-10-21 10:00:00,0.009507668457987686,0.2466504808899146,0.028963428690488263,0.15475409811433988,0.21375758954303775,0.2440944881889764,0.012982178708731099,0.4937305361888214,0.01822477219034762,0.6947723440134906
2018-10-21 11:00:00,0.010985754744432806,0.2281955869287629,0.019169709420074187,0.14327868827115395,0.19364804681542902,0.2992125984251968,0.023977703196338455,0.5768494033817014,0.029362132973337833,0.7720067453625632
2018-10-21 12:00:00,0.026808842960451586,0.18238014239798758,0.012797908136869656,0.1331147543307304,0.17911450807871152,0.3031496062992126,0.051453931145096374,0.5816579328887276,0.032737090786365164,0.8198988195615514
2018-10-21 13:00:00,0.03939397147882014,0.16850678369327524,0.00907440589058487,0.11737704918897053,0.19833424231223554,0.26377952755905515,0.04567050988537955,0.59814431976996,0.022274721565980427,0.818212478920742
2018-10-21 14:00:00,0.048510248646651426,0.15086036620001853,0.006835870634243153,0.11245901601390211,0.2640463088133043,0.16141732283464566,0.05240387414476019,0.561736882073905,0.018562267971650354,0.8043844856661045
2018-10-21 15:00:00,0.05753780558732972,0.15733309814463803,0.00644917887348509,0.10983606555633783,0.20641618482168933,0.043307086614173235,0.07119877247381459,0.4858308091415642,0.01349983125210935,0.7440134907251265
2018-10-21 16:00:00,0.09389133853265506,0.16162434151495397,0.003943353482766515,0.1649180322045368,0.13901238365285448,0.0,0.06346175155365825,0.40545967309555614,0.01788727640904489,0.7214165261382799
2018-10-21 17:00:00,0.14595477751121144,0.14767051222562003,0.0039017610660842675,0.15409836023784537,0.06953623982568283,0.0,0.06188489876101741,0.4147332657162494,0.047249409382382715,0.7932546374367622
2018-10-21 18:00:00,0.1880337224488097,0.12756987985097953,0.005741636932339536,0.17049180325609972,0.027343033129050016,0.0,0.04635451391953843,0.46797055668689574,0.09989875126560918,0.8212478920741989
2018-10-21 19:00:00,0.12040868260685585,0.11895184810354054,0.007897379736606211,0.18918032779367114,0.06815661663405542,0.0,0.03721830847041899,0.41267246735609536,0.13938575767802902,0.8077571669477234
2018-10-21 20:00:00,0.07633203563267196,0.13332398648333293,0.007401488262992774,0.19836065626731345,0.06571271269460117,0.0,0.02027559239970476,0.32989706655657425,0.13027337158285524,0.8259696458684654
2018-10-21 21:00:00,0.05550782837345885,0.1399004105241362,0.007495463581817286,0.20622950883819338,0.0706263683148048,0.0,0.011773433523710073,0.27391204443905587,0.05028687141410732,0.8114671163575042
2018-10-21 22:00:00,0.04448512512290306,0.12947013522782858,0.006898847831200708,0.24524590125661186,0.08290210684939296,0.0,0.01509767059252178,0.18873237888602173,0.03577455281808977,0.8077571669477234
2018-10-21 23:00:00,0.030873178633978676,0.11197757749236828,0.0064253613292151604,0.2367213108092374,0.06480093362041559,0.0,0.010990265807498503,0.20144063544030505,0.0651366857914276,0.7844856661045531
2018-10-22 00:00:00,0.031302175617125845,0.10919145593681395,0.004984027138659503,0.3213114751598864,0.06223489910334185,0.0,0.02227952514118617,0.1956017067532019,0.0580492743840702,0.7193929173693085
2018-10-22 01:00:00,0.04129411777591899,0.10345183400969242,0.005897608494897964,0.33442622984408193,0.09366962967941045,0.0,0.03700270258595594,0.1756806559383794,0.043199460006749915,0.6954468802698145
2018-10-22 02:00:00,0.04249676974399285,0.08684615408314414,0.006928668809199299,0.3255737704584603,0.11129520446855752,0.0,0.03047254875078176,0.18701504691922669,0.030712116098548767,0.6175379426644182
2018-10-22 03:00:00,0.04077881025080076,0.07857492756382847,0.005705341663064933,0.3213114751598864,0.10587299453837226,0.0,0.02500615077762732,0.1677809288911222,0.019574755315558554,0.43170320404721757
2018-10-22 04:00:00,0.054611644548069015,0.08420106297503799,0.005898667924379493,0.38852458952776575,0.07873480475908613,0.0,0.045698305765954926,0.160568134630583,0.041511981100236246,0.4478920741989882
2018-10-22 05:00:00,0.05889708709222923,0.08284653611149674,0.005302836936341824,0.41081967133764313,0.11133332988696783,0.0,0.12595027166717063,0.17705452151181542,0.07424907188660142,0.3979763912310287
2018-10-22 06:00:00,0.050092754624313646,0.07790113586299437,0.006473624227818145,0.48459016387137405,0.12470695123306648,0.0,0.21607766319280763,0.17396332397158434,0.08437394532568343,0.40236087689713324
2018-10-22 07:00:00,0.03128479667551069,0.07084193429765297,0.005483136138846473,0.6124590159390154,0.15415851385826648,0.0,0.3730627867623997,0.1640027985641731,0.08099898751265609,0.32512647554806073
2018-10-22 08:00:00,0.023787608887649154,0.05933795148653771,0.009713398820462606,0.6124590159390154,0.08892656915175466,0.0,0.6047207922577204,0.13034309201499025,0.07829902126223422,0.2505902192242833
2018-10-22 09:00:00,0.02892863571292179,0.04543001342203369,0.0089323638638021,0.663278688636601,0.103707600011373,0.11023622047244093,0.7466597051758559,0.08637939366503715,0.03847451906851164,0.20404721753794267
2018-10-22 10:00:00,0.029672352184982036,0.031089097629074473,0.008332726777256716,0.7291803272514915,0.1386569772100465,0.2047244094488189,0.714064152141128,0.10595697808650065,0.006412419844751941,0.17234401349072515
2018-10-22 11:00:00,0.03401672248495498,0.033508503234710586,0.0049511848247321055,0.696721311351417,0.07119049526857095,0.24015748031496062,0.6557814492546761,0.10114844857947453,0.0003374957813027336,0.1706576728499157
2018-10-22 12:00:00,0.04621374564750613,0.07633140766457948,0.005642168275462651,0.7570491801129318,0.04071859305574582,0.2440944881889764,0.5869441997697449,0.11420017152711685,0.0,0.206070826306914
2018-10-22 13:00:00,0.07865029881921774,0.14327520889359063,0.006696967657776026,0.8301639346203948,0.09486121055311582,0.21653543307086615,0.4248589077345794,0.07332767071739482,0.0,0.24418212478920742
2018-10-22 14:00:00,0.08507503065959289,0.1600040318062055,0.0073927773983668696,0.8281967208411377,0.08238515202349042,0.1456692913385827,0.28172852815178057,0.07470153629083086,0.0,0.23541315345699834
2018-10-22 15:00:00,0.08640765958596495,0.14907690812884877,0.007295741505484607,0.8436065570446505,0.07217206324425339,0.031496062992125984,0.21453123562079657,0.07332767071739482,0.0,0.2269814502529511
2018-10-22 16:00:00,0.11569935453296468,0.12749966351799832,0.009608946921209642,0.8967213111117797,0.07337850656920344,0.0,0.1719130139185994,0.05134582154241828,0.0,0.27689713322091064
2018-10-22 17:00:00,0.25978903571335993,0.12472558955854161,0.010631884942819254,0.9052459015591541,0.02663351263049878,0.0,0.20415886472608846,0.08397512891152409,0.0006749915626054676,0.3473861720067454
2018-10-22 18:00:00,0.41940074050355847,0.12639018108042752,0.014941290930518495,0.917377049428608,0.03264375867514817,0.0,0.24848765994369457,0.17842838708525147,0.0016874789065136685,0.36593591905564926
2018-10-22 19:00:00,0.46084075376412903,0.17572255802469455,0.017596338925616867,0.9442622941273459,0.07184250454274052,0.0,0.302574687343296,0.2941765616472374,0.0013499831252109348,0.29376053962900506
2018-10-22 20:00:00,0.43293937414634165,0.22486332301117987,0.03646693608873938,0.9180327859571419,0.08874240399502689,0.0,0.41724358769694225,0.37798236162683546,0.0,0.22799325463743678
2018-10-22 21:00:00,0.37747039281884603,0.23581605932604188,0.06491006718941009,0.8432786879566299,0.06216704878244214,0.0,0.5193325983701848,0.398933811621735,0.0,0.20236087689713322
2018-10-22 22:00:00,0.31367237117038044,0.27438892132492104,0.10397645084453204,0.8465573762906885,0.09480951507052555,0.0,0.5752755642282041,0.40099460998188907,0.0,0.22023608768971334
2018-10-22 23:00:00,0.2482922816688311,0.33558509955153976,0.1550272185090963,0.7963934429673314,0.10367852130241599,0.003937007874015748,0.629137970863156,0.44461484193848316,0.0,0.15210792580101182
2018-10-23 00:00:00,0.22123516811387736,0.3663087687600499,0.19431780883301292,0.8193442613057427,0.16000721151982134,0.027559055118110232,0.7015965728430491,0.5067822591364637,0.002024974687816402,0.13018549747048905
2018-10-23 01:00:00,0.2065012576000923,0.3888835267378692,0.2004822366047404,0.8386885237198085,0.21047363401149188,0.051181102362204724,0.6990866799510943,0.49716520012241144,0.011474856564292946,0.1679595278246206
2018-10-23 02:00:00,0.21359719629478044,0.36710910620310033,0.19177027331122526,0.8091803273653191,0.4204975173244486,0.051181102362204724,0.7394470497865538,0.42091566079671155,0.01721228484643942,0.09274873524451939
2018-10-23 03:00:00,0.26173321353060136,0.37021711009714087,0.22596983411884797,0.8036065575119434,0.3604990940366676,0.07086614173228346,0.7981598375819087,0.4075204714557102,0.02362470469119136,0.039123102866779086
2018-10-23 04:00:00,0.25460149466199966,0.3484295843528765,0.1337088291479656,0.7859016385909265,0.2815555687666233,0.06299212598425197,0.8665756414181158,0.37969969359363054,0.0340870739115761,0.04047217537942664
2018-10-23 05:00:00,0.21520752318317954,0.3749917747566719,0.10620988514411085,0.7547540987433882,0.39144336372166116,0.01968503937007874,0.8630095050642967,0.43843244685802096,0.03712453594330071,0.03204047217537943
2018-10-23 06:00:00,0.2653928681350899,0.42212362608547344,0.07616317018969476,0.7904918028277479,0.4215908767812324,0.051181102362204724,0.8443070092571551,0.30894561656167474,0.04758690516368545,0.01517706576728499
2018-10-23 07:00:00,0.24578825366098725,0.38541165785176557,0.07755141519178713,0.7944262291880744,0.40504379899762455,0.11023622047244093,0.8527340441315946,0.18735851331258568,0.049949375632804584,0.014165261382799325
2018-10-23 08:00:00,0.18185799141056763,0.3608131796286922,0.0547628908534548,0.779344261922809,0.2731964092317793,0.18503937007874016,0.8657688096414143,0.17499372315166137,0.044211947350658115,0.015851602023608767
2018-10-23 09:00:00,0.15007519313079076,0.29685102048427014,0.013845487703457055,0.8009836058561921,0.20803102245910238,0.23228346456692914,0.8596882729555472,0.17018519364463525,0.05332433344583192,0.004047217537942665
2018-10-23 10:00:00,0.1297043717895965,0.308829641795079,0.009358489944150408,0.813442622663893,0.1715223802668004,0.33070866141732286,0.8370470257468734,0.2642949854250036,0.07661154235572055,0.0010118043844856662
